id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
134,,1690,4,11,9,1209.55,,42728.3
135,,1540,19,9,4,533.11,71.9,70594.31
136,,1873,36,14,4,685.85,97.17,
137,,2544,48,8,12,1837.21,337.23,134569.61
138,,984,50,3,10,,95.54,58320.88
139,,2715,47,3,1,1887.69,,300624.49
140,2025-02-17,1227,48,8,5,1435.54,163.56,44225.55
141,,2101,71,3,5,1904.59,167.05,287937.3
142,,821,56,4,5,1305.77,272.72,31298.47
143,,2342,41,10,10,169.2,9.37,31558.02
144,,354,71,15,10,219.57,53.42,8891.18
145,,2461,80,7,12,393.01,55.94,
146,2025-12-23,2899,27,9,2,,,143545.57
147,,1556,53,5,6,357.68,26.25,
148,,848,13,8,3,505.33,68.83,88566.14
149,,892,71,15,10,229.87,16.79,25541.31
150,,1080,76,6,7,104.24,15.49,6890.09
151,,927,10,14,7,1524.01,139.89,138665.57
153,,1016,28,12,8,165.57,24.61,
154,2025-04-12,1023,24,4,5,,,73105.67
155,,1918,43,10,12,,9.96,3222.28
156,,462,28,10,2,1793.62,,288252.92
157,,2910,63,4,7,1762.17,,96305.3
158,,1121,67,7,12,985.24,189.5,
159,2025-09-04,1637,5,2,5,748.78,82.65,84100.56
160,,1554,9,2,7,1101.08,81.1,82850.58
161,,1392,35,7,6,1824.05,155.21,167233.6
162,,1094,4,4,5,1760.71,326.32,235475.6
163,,354,12,10,7,1304.88,101.17,142724.83
164,2026-01-16,851,50,13,9,501.92,62.0,81059.4
165,,2934,78,10,2,842.46,196.92,
166,2025-05-09,2302,35,4,12,1924.36,409.1,50238.7
167,,743,77,6,5,605.91,121.04,58769.89
168,,691,65,1,1,268.88,65.44,
169,,1166,41,10,3,,93.67,84578.57
170,,2800,6,1,2,917.66,131.25,177908.61
171,,2320,39,9,5,225.23,,16197.54
172,,693,69,13,8,1440.24,319.57,199499.58
173,,1935,13,14,2,,116.08,128228.92
174,,9,63,12,10,,70.76,11842.93
175,,2362,59,6,5,386.3,78.61,68440.5
177,,355,72,14,1,1123.67,,56048.07
178,,833,71,4,10,1310.85,160.19,41123.88
179,,2432,3,8,1,,240.54,260639.14
180,,2894,5,10,9,507.43,,64390.94
181,,1945,37,11,5,,210.72,
182,,1953,74,6,1,1725.25,,94698.24
183,,513,50,11,5,723.36,174.04,62801.44
184,,1373,12,7,9,,128.95,49518.48
185,2026-01-04,1468,27,7,12,1852.09,243.81,347316.23
186,,2129,30,8,3,1795.66,388.9,298913.7
187,,2226,75,5,3,1327.21,,240624.13
188,,1151,47,7,11,,102.66,130925.71
189,,1725,74,11,7,1103.69,252.45,151711.76
190,2025-12-07,2854,70,13,4,953.96,,93787.36
191,2025-11-12,837,34,12,3,1076.04,173.48,144639.86
192,,1525,3,4,3,234.48,35.63,36663.52
193,,1786,56,15,12,1316.23,,
194,,583,72,10,6,1462.11,99.14,221551.14
195,,1641,31,15,11,911.44,,129241.82
196,,1172,54,6,7,1568.46,283.24,87378.2
197,,1558,49,4,11,1498.66,,228469.92
198,,876,77,2,7,1351.69,68.96,50400.3
199,,1268,39,15,8,1558.42,251.72,191348.34
200,2026-02-12,239,79,11,1,1218.97,181.78,225902.31
201,,2011,32,12,5,,209.81,147542.55
202,,2346,4,11,6,,,159867.32
203,,1121,32,14,5,741.78,127.03,
204,2025-11-27,2424,50,5,7,1614.32,388.18,80347.81
205,,419,46,7,1,1653.96,249.55,51983.28
206,,241,28,8,7,556.14,58.53,54199.33
207,,974,74,14,11,839.87,94.57,69882.74
208,,3614,78,4,4,472.52,36.01,
209,2026-02-07,1974,25,13,9,72.55,18.01,
210,,2680,12,10,5,,,
211,,1795,11,9,7,,237.61,171128.94
212,,2876,13,10,7,213.27,,12711.02
213,,214,28,8,11,192.43,45.37,21029.68
214,,743,54,13,12,306.05,17.31,18766.83
215,2025-02-26,483,71,7,1,,104.78,58056.65
216,,1330,46,10,12,,,
217,,432,3,15,10,1422.59,251.31,174594.04
218,,3630,1,9,2,,88.01,
219,,1052,5,13,9,,176.78,205287.05
220,,1871,34,6,7,,144.19,127817.41
221,2025-03-15,2725,80,11,1,616.19,75.06,115464.32
222,,1600,78,2,10,1622.52,144.49,60407.59
223,,1312,75,15,1,312.76,,44896.28
224,,777,40,10,9,298.58,63.17,27470.47
225,,645,64,12,8,1651.96,180.18,80061.7
226,,832,44,3,6,1664.22,213.11,43423.44
227,,232,44,13,3,66.1,8.06,10033.13
228,,2555,30,5,11,341.36,395.85,51411.63
229,,2625,10,5,1,1624.52,,263502.43
230,2025-12-19,1245,6,13,3,238.5,,44718.94
231,,2790,73,7,3,1729.95,,161771.05
232,,1421,17,7,4,1546.13,170.23,176385.79
233,,2619,42,4,6,277.67,63.81,54034.44
234,,2270,68,3,9,,157.51,380748.51
235,,2895,65,8,2,,,193621.53
236,,2906,18,7,3,235.8,42.67,25121.58
237,2025-02-11,1137,37,6,3,,268.64,106698.49
238,,1485,30,4,4,1779.97,368.63,334475.3
239,,1236,77,10,8,760.38,,111154.53
240,,536,15,6,10,,180.09,79238.61
241,,657,22,3,4,,199.83,
242,,1884,61,12,8,548.88,77.84,32829.84
243,2025-10-09,634,16,14,3,1585.52,283.81,
244,,1804,18,7,5,,133.24,81691.01
245,,2704,51,1,5,,274.71,41044.61
246,,2695,40,14,7,735.39,59.42,
247,,924,49,5,11,,131.17,274013.46
248,,1011,64,10,4,1846.72,,320537.24
249,,1500,73,4,6,,,
250,,1771,63,14,3,424.38,72.81,
251,,1262,68,1,5,601.96,120.32,
252,,1575,33,14,8,1422.87,76.42,
253,,1563,59,10,10,792.74,145.28,71091.98
254,,917,23,1,6,1042.39,132.79,
255,,2003,60,1,2,275.48,,
256,,2083,71,12,9,,326.26,
257,,2855,25,14,7,,132.4,17045.13
258,,1821,50,7,10,555.6,92.6,37621.89
259,,148,17,5,1,1560.57,,170301.72
260,2025-01-14,971,57,13,6,595.33,132.98,
261,,2956,78,2,4,843.81,106.28,165119.46
262,,1441,1,12,7,,,
263,,828,38,15,7,961.19,172.58,65328.26
264,,2337,80,8,5,267.35,45.16,43006.11
265,,184,62,13,9,264.84,,20928.09
266,,1750,12,5,5,469.18,53.62,82199.39
267,,761,60,1,12,836.8,,67062.51
268,,1635,13,14,4,1161.47,87.66,126085.89
270,,168,64,1,8,1079.04,,153797.15
271,,1773,43,11,5,1395.69,,101033.61
272,,2717,50,13,5,529.12,126.8,
273,,2346,41,12,10,470.44,42.33,
274,,222,16,12,6,359.96,,49248.02
275,,1637,46,5,1,1958.02,109.4,249654.56
276,,482,19,14,11,1238.05,,149205.72
277,2025-06-04,2165,16,13,12,113.44,11.06,22028.53
278,,1832,27,10,9,,150.96,319716.88
279,,770,66,14,3,901.35,,39362.62
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
281,,1387,2,14,12,1536.3,234.29,108632.52
282,,1190,6,4,6,102.19,24.17,
283,,254,65,13,12,311.5,25.08,
284,,1163,16,3,4,1052.91,83.89,75727.87
285,2025-07-06,2457,37,9,5,1159.92,229.02,119625.01
286,,631,43,6,10,480.94,110.77,90139.34
287,,605,62,7,6,434.82,27.2,30848.23
288,2025-07-06,1378,72,4,5,738.72,128.9,59480.36
289,,2696,62,12,7,,52.21,143989.06
290,,326,61,2,6,,339.8,
291,,281,54,1,9,,,132725.63
292,,1514,27,3,1,365.44,39.1,9478.09
293,2025-10-28,175,24,15,1,,,158807.4
294,,2129,13,13,7,,212.49,100787.99
295,,764,52,7,5,987.43,,164812.9
296,,1812,77,13,11,,47.2,99611.28
297,,1573,79,4,10,1252.38,146.52,45753.53
298,,2390,2,14,9,,396.87,
299,,2724,18,5,7,1142.36,88.5,
300,,1233,67,6,8,1027.81,61.97,69674.38
301,,1579,72,11,1,,18.74,4988.88
302,,679,60,1,6,,86.07,83621.21
303,,2931,13,14,6,317.71,31.74,11090.61
304,,917,41,15,9,673.03,106.8,89286.47
305,,2007,76,12,12,142.86,161.2,8185.49
306,2025-07-06,619,17,10,2,,129.63,196786.22
307,,78,24,6,10,1259.85,87.1,50836.92
308,,905,6,7,2,71.14,14.24,12910.64
309,,980,20,1,5,529.37,91.01,52844.12
310,,355,53,6,6,1044.88,139.7,48271.62
311,,236,19,8,12,662.47,34.15,
312,,1894,10,13,2,1944.37,129.58,
313,,2852,30,1,11,1736.83,,122859.35
314,,444,68,4,1,,28.88,48398.37
315,,282,9,6,12,644.32,97.22,103239.66
316,,3776,1,6,8,1431.9,177.07,106644.92
317,2025-01-17,2621,19,2,8,70.91,17.25,
318,,380,58,11,9,779.52,,79294.65
319,,2874,9,1,11,726.96,,122532.96
320,,2637,64,1,9,1224.21,261.15,183732.97
321,,830,48,8,1,1344.7,1724.81,266633.14
322,2025-08-19,454,75,11,3,850.81,,166822.37
323,,2484,29,7,1,1195.89,76.06,83832.92
324,,689,68,1,6,,391.8,260739.67
325,,531,13,2,10,,126.53,
326,,2429,22,3,1,740.5,,
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
328,,2035,34,9,8,,201.21,
329,,1584,78,10,10,965.87,,80283.34
330,2025-07-15,2011,15,10,2,1158.76,,143147.74
331,,2628,51,9,3,1055.42,,169845.49
332,,2249,63,5,8,1033.15,,124531.25
333,,2372,29,2,8,1307.34,198.89,105131.68
334,,1976,64,12,8,1572.9,255.61,
335,,282,43,8,6,,18.72,20333.48
336,2025-11-26,1444,54,3,10,550.34,49.47,20954.52
337,2025-07-24,3574,35,4,10,1304.27,136.32,
338,2025-06-28,1141,75,3,2,1845.6,92.8,319554.79
339,,2571,76,4,6,924.18,222.4,53440.43
340,,1514,51,1,11,230.39,56.57,21695.02
341,,14,23,2,4,716.28,71.72,64529.32
342,,1132,50,7,1,1840.74,,343602.22
343,,1809,74,13,6,261.29,22.99,11502.8
344,,1385,52,2,7,1053.46,243.44,85054.56
345,2025-08-11,1606,47,12,1,323.93,38.26,
346,,1529,61,9,3,1153.35,220.03,
347,,1108,65,2,5,,13.6,9304.45
348,,1317,20,1,2,1666.25,356.84,
349,,2133,51,7,6,1267.27,,182975.67
350,,1119,74,2,6,423.21,33.82,17124.02
351,,2186,22,15,4,615.15,97.58,115731.56
352,,335,32,13,3,69.55,5.42,4481.9
353,,1274,18,10,12,435.91,108.35,81976.35
354,,2871,64,8,3,196.33,27.44,15872.78
355,,2758,77,12,8,1934.73,,316696.31
356,2025-10-31,729,63,14,7,1517.29,,224140.06
357,,2655,25,11,11,374.5,81.21,44517.01
358,,2665,30,2,9,1247.68,154.02,77789.9
359,,3785,8,6,1,,,
360,2025-04-12,3666,59,7,9,861.49,,36651.44
361,,702,21,15,6,1186.26,,65607.3
362,,2822,46,2,12,1422.8,332.01,35091.58
363,,2480,2,14,6,,148.66,160600.88
364,,707,28,11,9,268.47,41.13,26697.38
365,,2794,41,15,3,1910.72,141.4,348837.15
366,,844,31,2,1,1992.81,300.46,97957.19
367,,2182,13,9,1,524.74,70.05,62174.08
368,,2229,12,8,1,312.7,32.01,
369,,1959,2,4,11,300.3,16.25,16152.36
370,,185,3,5,7,53.79,2.82,3905.87
371,,602,17,11,4,,,
372,2026-01-02,2269,59,8,7,,,84920.53
373,,1870,21,1,5,1038.02,98.58,72125.71
374,,465,69,9,11,109.71,26.59,13623.02
375,,1358,80,4,10,,63.4,
376,,3527,73,6,5,110.64,14.62,12500.24
377,,2290,36,3,1,1389.23,,
378,,1868,60,12,9,1755.33,276.66,288662.01
379,,573,2,15,5,92.25,18.56,
380,,1145,13,15,1,1907.5,471.37,227662.64
381,,243,34,10,9,858.13,57.01,141537.21
382,,1204,29,13,1,,73.38,163339.83
383,,234,34,13,4,,73.81,108825.24
384,,1158,68,2,2,1861.73,346.31,57069.12
385,,2090,16,3,8,766.05,50.66,127959.71
386,,117,43,4,7,,21.8,43701.61
387,,48,63,2,4,1487.16,267.57,84325.7
388,2025-12-01,1001,47,14,4,,,87870.06
389,,581,53,13,12,216.28,,
390,,2187,14,5,10,1182.03,,89798.89
391,,2575,43,15,11,,59.01,30926.4
392,,1062,38,15,3,,79.4,109425.04
393,,1157,7,1,7,66.98,10.96,11874.36
394,,1895,76,4,9,735.69,132.66,53150.39
395,,1038,46,12,4,1225.95,71.97,191272.59
396,,588,51,3,6,1353.44,309.33,
397,,2761,77,9,9,,,26510.38
398,,1255,78,12,12,1796.91,345.46,150449.96
399,,2988,14,9,4,308.81,24.4,44128.8
400,,1674,35,12,1,1544.57,,42133.22
401,,1435,1,3,12,1745.43,,260632.03
402,,1721,63,8,5,405.99,71.04,
403,,1714,75,3,2,,,45428.93
404,,1407,28,14,8,,42.22,19368.57
405,,2328,47,1,8,1264.26,275.94,131575.43
406,2025-09-22,1393,7,15,3,1384.51,194.9,
407,,618,23,1,9,1327.66,,234801.96
408,,1694,5,3,4,458.92,97.55,
410,,1818,66,11,9,,,98744.66
411,,177,38,10,8,393.15,,37040.34
412,,2826,18,1,5,1596.8,373.29,219135.53
413,,1069,25,15,5,1229.31,110.93,151597.25
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
415,,2645,56,8,11,344.91,46.82,65854.06
416,,297,21,5,10,464.88,101.67,45376.39
417,2025-10-07,60,35,8,1,620.81,90.95,
418,,206,29,11,12,360.12,86.63,69683.94
419,,111,71,13,6,942.78,142.54,116621.23
420,,2211,1,15,6,1837.9,390.08,107175.91
421,,1662,44,11,4,293.77,44.98,28807.95
422,2025-08-07,181,4,8,5,1880.35,131.37,131698.52
423,,807,50,9,8,210.77,41.24,35549.86
424,,1234,1,12,6,547.19,68.36,60347.81
425,,1481,30,11,2,538.85,105.16,69395.89
426,,897,74,14,10,1677.27,259.69,287389.71
427,,2943,35,9,5,1849.84,222.39,187959.06
428,,1293,54,9,10,1683.76,278.4,304002.46
429,2026-01-04,1774,50,7,5,987.28,127.17,119643.51
430,,758,10,8,6,170.94,28.14,19950.67
431,2025-03-27,21,56,2,11,1414.67,173.1,38629.85
432,,1557,62,3,5,,207.9,
433,,82,11,2,2,1611.89,244.46,226220.87
434,,2333,51,2,6,,17.35,
435,2025-12-31,365,31,6,6,1939.31,,357795.18
436,,1901,69,15,3,687.69,128.26,125649.5
437,,1256,61,7,12,1900.51,,172566.66
439,,770,70,11,8,359.75,83.83,15237.57
440,,1109,54,12,3,,23.62,27679.23
442,,3881,19,15,5,1081.98,,
443,2025-10-17,2491,60,1,3,566.75,28.78,105991.94
444,,2825,31,15,3,1525.16,225.41,203346.47
445,2025-04-26,1383,42,5,9,1857.17,,350577.41
446,,1091,23,8,12,,11.62,4844.8
447,,2535,70,10,11,,267.96,320624.01
448,,459,77,2,3,1973.47,235.49,125583.09
449,,2759,98,3,1,1674.8,320.29,291662.21
450,,1094,38,5,4,1656.24,330.83,201095.5
451,,1809,51,12,9,516.0,42.02,
452,,2214,48,4,1,77.82,13.04,14156.41
453,,1649,48,9,7,285.16,23.71,39481.15
454,,1449,53,14,9,605.84,129.93,
455,,2987,64,7,10,1365.51,166.31,228125.25
456,,747,73,14,7,1486.69,227.71,200312.11
457,,2597,48,14,12,436.02,77.71,
458,,2233,10,4,8,,59.29,
459,2025-07-09,135,12,12,11,1350.74,320.2,
460,,1917,69,15,4,1335.5,242.06,207368.93
461,2025-08-09,1607,49,10,5,1391.27,131.33,260544.91
462,,1340,43,10,3,701.69,123.95,34895.13
463,,1004,39,12,7,1847.53,395.39,238392.21
464,,1630,14,1,6,,59.17,
465,2025-09-25,1929,79,3,5,1945.13,332.26,
466,,2898,42,7,2,,54.71,14166.74
467,2025-10-24,781,35,8,7,,251.38,162310.51
469,,273,38,13,1,1207.61,103.23,
470,,3857,93,2,11,1557.9,229.31,120949.16
471,,714,38,14,5,1082.72,109.83,64280.36
473,,2945,67,1,9,1869.53,169.04,
474,,729,34,12,2,1115.45,86.74,170089.33
475,,405,56,8,10,725.33,78.35,
477,,65,22,3,1,1248.84,137.09,133624.56
478,,2138,36,13,2,168.26,215.65,16914.26
479,,2034,65,5,7,931.56,138.27,
480,,1343,1,2,8,1810.4,,184337.17
481,,1479,14,2,3,173.26,15.36,4328.71
482,,170,52,6,2,178.98,,26558.18
483,2025-10-18,1785,66,9,7,1906.65,335.86,68871.39
484,,2805,11,4,9,1966.19,303.27,243726.68
485,,1799,54,15,2,1189.72,139.99,81181.0
487,2025-06-15,777,20,1,10,1838.94,325.9,250058.9
488,2025-03-29,2538,78,15,4,469.17,,68548.42
489,,1736,26,12,10,1609.82,179.76,143503.16
490,,983,78,2,9,1479.43,197.15,150480.65
491,,1600,21,1,2,851.47,75.68,58436.85
492,,868,52,3,9,1135.38,98.08,67086.05
493,,604,11,2,2,,99.01,118835.36
494,,1230,49,4,9,263.84,32.56,12942.83
495,,2403,77,15,9,,167.88,196931.25
496,,251,60,6,2,559.13,137.72,76692.82
497,,703,34,6,12,,28.27,65152.17
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
499,,2487,14,15,3,1608.01,336.33,182343.65
500,,2382,2,2,2,1805.76,205.29,
501,,1703,66,4,11,310.65,73.03,
502,,1560,80,10,11,1517.28,213.23,269343.52
503,,2629,61,4,8,,,44153.87
504,,2703,61,12,7,,,
505,,1817,56,1,8,658.17,,17945.01
506,,1777,4,14,3,1084.94,220.79,145253.08
507,,71,63,6,2,1604.54,,57680.77
508,,1415,75,5,1,1028.33,253.52,
509,,1832,54,15,11,1856.75,380.05,145000.82
510,,699,43,14,12,1124.08,121.5,
511,2025-03-31,2545,36,10,11,,380.95,121142.67
512,,2723,67,6,5,,6.23,15008.2
513,,907,70,6,2,1428.97,129.1,270769.71
514,2026-01-18,687,3,5,1,1046.69,81.8,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
516,,1576,7,4,4,1971.56,389.57,279818.51
517,,741,3,11,10,1840.16,124.09,192886.75
518,,1875,60,8,4,,,328641.34
519,,1468,15,2,1,322.43,56.38,39773.58
520,,1496,9,5,11,1064.04,124.78,171718.88
521,,2939,14,6,11,1998.2,398.18,
522,,1045,18,8,12,1763.56,402.61,179266.06
523,,938,47,9,10,,,
524,,1574,43,10,10,181.08,34.65,22655.97
525,,25,4,5,2,1938.64,162.8,343418.5
526,2026-02-08,284,65,10,8,1536.08,260.86,126568.35
527,,2629,44,15,1,1498.66,346.97,218178.19
528,,2872,55,1,11,533.97,70.87,31974.56
529,,1326,23,8,6,,52.59,67713.3
530,,214,55,15,7,1066.08,161.64,
531,,177,73,4,7,1871.73,183.05,121960.34
532,,1369,54,4,3,306.81,,57557.29
533,,2867,50,10,8,1129.22,175.16,138659.54
534,,2027,7,5,12,449.49,73.78,76206.56
535,,1978,37,7,10,1837.59,373.45,73333.3
537,,2996,38,3,10,1065.63,1899.0,21670.75
538,,2146,23,12,8,643.98,121.68,
539,,620,2,4,9,56.45,,9836.44
540,,2723,9,12,2,233.08,55.01,25744.38
541,,1607,79,5,8,391.61,,25191.25
542,,2720,77,5,1,1673.58,247.88,99356.05
543,,1352,54,8,2,1184.99,140.37,197173.43
544,,1631,43,3,5,1705.97,,278392.08
545,,2921,10,6,2,589.25,84.48,64462.37
546,,683,18,12,7,,,
547,,2749,33,12,6,943.14,204.41,186378.98
548,,140,75,14,2,,238.1,211004.23
549,2025-03-01,2373,37,2,3,1292.38,72.55,114912.08
550,,2740,18,1,4,1856.51,357.18,221118.7
551,,1815,21,1,4,,124.2,209012.04
552,,2701,42,8,5,1686.04,369.75,212460.57
553,,2446,1,10,12,,207.12,
554,,659,43,4,2,316.37,,
555,,58,12,13,5,802.91,173.75,103985.96
556,2025-09-23,2075,41,5,7,910.0,,56167.62
557,2025-02-23,863,14,10,9,670.02,110.59,73438.18
558,,278,14,2,10,1329.62,118.69,
559,,2560,76,1,12,1382.32,279.32,62361.96
561,,2867,25,1,9,244.84,21.87,15421.81
562,,1565,32,9,3,1761.04,254.27,
563,,1398,57,14,8,841.68,118.23,27662.38
564,,2174,57,6,8,576.14,,76260.33
565,,2636,22,5,10,970.69,228.85,85460.43
566,2025-02-18,2845,40,6,4,932.58,189.41,78318.01
567,,1718,78,10,1,1429.03,,122545.12
568,2025-06-13,1884,55,5,12,,,119021.19
569,,2388,29,5,7,681.04,42.3,106713.79
570,,2214,74,3,4,636.27,,53905.94
571,,788,69,9,1,,149.93,82686.26
572,,2819,66,15,11,786.78,186.55,151490.56
573,,2280,45,11,5,,194.57,
574,2025-02-16,2920,23,15,12,484.69,73.71,
575,,1400,48,5,2,1694.46,292.44,130970.86
576,,3728,26,15,3,1034.92,140.98,56238.72
577,2025-08-07,2064,75,12,7,1325.78,90.78,61776.9
578,,862,39,8,7,148.55,,25004.08
579,,1913,28,7,4,,18.29,4641.89
580,,1660,40,10,1,1055.36,223.72,169828.64
581,,390,8,12,12,240.95,31.9,38154.1
582,,11,69,11,6,,,162305.06
583,,3553,54,12,1,1492.56,,
584,,1556,18,15,5,591.04,143.55,56121.83
585,,230,23,15,11,583.92,133.94,93049.78
586,,703,79,9,6,96.76,,13409.03
587,2025-04-24,2692,26,13,2,1024.25,67.72,
588,,24,24,9,11,1805.91,,291663.33
589,2025-03-22,1709,78,7,3,701.62,41.46,
590,,222,32,14,12,,,232343.62
591,,2782,30,8,11,816.32,82.76,103919.46
592,,1683,33,14,2,610.59,,39225.86
593,,2395,4,14,6,,21.01,
594,,294,61,2,8,,415.66,40996.09
595,,853,62,5,5,1217.81,159.5,231643.51
596,2025-01-04,2287,14,9,1,426.27,65.37,24692.57
597,,2380,32,13,6,278.09,,
598,,2730,13,7,4,830.75,128.47,
599,2025-04-28,2512,29,1,4,1914.82,387.89,161651.62
600,,2290,60,15,4,616.05,137.39,22632.8
